masculine,feminine
grand,grande
petit,petite
haut,haute
bas,basse
large,large
etroit,etroite
gros,grosse
mince,mince
épais,épaisse
fin,fine
long,longue
court,courte
lourd,lourde
léger,legère
dense,dense
compact,compacte
poreux,poreuse
solide,solide
liquide,liquide
gazeux,gazeuse
visqueux,visqueuse
fluide,fluide
rigide,rigide
flexible,flexible
élastique,élastique
cassant,cassante
résistant,résistante
fragile,fragile
robuste,robuste
durable,durable
périssable,périssable
stable,stable
instable,instable
fort,forte
faible,faible
puissant,puissante
impotent,impotente
rapide,rapide
lent,lente
vif,vive
paresseux,paresseuse
actif,active
passif,passive
dynamique,dynamique
statique,statique
énergique,énergique
fatigué,fatiguée
endurant,endurante
résistant,résistante
sensible,sensible
vulnérable,vulnérable
invulnérable,invulnérable
immuable,immuable
éternel,éternelle
éphémère,éphémère
immortel,immortelle
mortel,mortelle
vivant,vivante
mort,morte
organique,organique
inorganique,inorganique
naturel,naturelle
artificiel,artificielle
synthétique,synthétique
biologique,biologique
chimique,chimique
mécanique,mécanique
électrique,électrique
magnétique,magnétique
optique,optique
nucléaire,nucléaire
atomique,atomique
cristallin,cristalline
amorphe,amorphe
pur,pure
impur,impure
contaminé,contaminée
stérile,stérile
fertile,fertile
humide,humide
sec,sèche
mouillé,mouillée
trempé,trempée
imbibé,imbibée
saturé,saturée
déshydraté,déshydratée
réhydraté,réhydratée
chargé,chargée
déchargé,déchargée
ionisé,ionisée
neutralisé,neutralisée
acide,acide
basique,basique
neutre,neutre
salé,salée
sucré,sucrée
amer,amère
piquant,piquante
épicé,épicée
parfumé,parfumée
odorant,odorante
mûr,mûre
immature,immature
pourri,pourrie
décomposé,décomposée
fermenté,fermentée
moisi,moisie
propre,propre
sale,sale
net,nette
flou,floue
clair,claire
obscur,obscure
transparent,transparente
opaque,opaque
brillant,brillante
mat,mate
luisant,luisante
terne,terne
chatoyant,chatoyante
scintillant,scintillante
réfléchissant,réfléchissante
absorbant,absorbante
isolant,isolante
lumineux,lumineuse
sombre,sombre
éclairé,éclairée
obscur,obscure
coloré,colorée
incolore,incolore
iridescent,iridescente
fluorescent,fluorescente
phosphorescent,phosphorescente
incandescent,incandescente
thermique,thermique
chaud,chaude
froid,froide
tiède,tiède
brûlant,brûlante
glacé,glacée
congélé,congelée
surgelé,surgelée
décongelé,décongelée
fondu,fondue
solidifié,solidifiée
vaporisé,vaporisée
condensé,condensée
sublimé,sublimée
désséché,désséchée
hydraté,hydratée
déshydraté,déshydratée
humidifié,humidifiée
séché,séchée
evaporé,evaporée
distillé,distillée
filtré,filtrée
purifié,purifiée
stérilisé,stérilisée
pasteurisé,pasteurisée
irradié,irradiée
fumé,fumée
mariné,marinée
saumuré,saumurée
salé,salée
sucré,sucrée
acidifié,acidifiée
neutralisé,neutralisée
fermenté,fermentée
bouilli,bouillie
frit,frite
grillé,grillée
rôti,rôtie
braisé,braisée
poché,pochée
sauté,sautée
mijoté,mijotée
vaporisé,vaporisée
moulu,moulue
broyé,broyée
écrasé,écrasée
mélangé,mélangée
levé,levée
aéré,aérée
pressé,pressée
comprimé,comprimée
étiré,étirée
compressé,compressée
dilaté,dilatée
contracté,contractée
rétracté,rétractée
gonflé,gonflée
dégonflé,dégonflée
plié,pliée
replié,repliée
déplié,dépliée
tordu,tordue
enroulé,enroulée
déroulé,déroulée
noué,nouée
dénoué,dénouée
tressé,tressée
détressé,détressée
cousu,cousue
décousu,décousue
collé,collée
décollé,décollée
assemblé,assemblée
désassemblé,désassemblée
monté,montée
démonté,démontée
soudé,soudée
désoudé,désoudée
riveté,rivetée
dériveté,dérivetée
boulonné,boulonnée
déboulonné,déboulonnée
vissé,vissée
dévissé,dévissée
cloué,clouée
décloué,déclouée
agrafé,agrafée
désagrafé,désagrafée
épinglé,épinglée
désépinglé,désépinglée
cramponné,cramponnée
décramponné,décramponnée
ancré,ancrée
désancré,désancrée
fixé,fixée
défixé,défixée
attaché,attachée
détaché,détachée
lié,liée
délié,déliée
entravé,entravée
désentravé,désentravée
enchaîné,enchaînée
dénchaîné,dénchaînée
emprisonné,emprisonnée
libéré,libérée
captif,captive
libre,libre
encagé,encagée
décagé,décagée
enfermé,enfermée
ouvert,ouverte
verrouillé,verrouillée
déverrouillé,déverrouillée
scellé,scellée
déscellé,déscellée
souder,soudée
désouder,désoudée
souder,soudée
désouder,désoudée
