masculine,feminine
agile,agile
rapide,rapide
vif,vive
lent,lente
endurant,endurante
résistant,résistante
fort,forte
faible,faible
puissant,puissante
fragile,fragile
souple,souple
rigide,rigide
flexible,flexible
adroit,adroite
maladroit,maladroite
habile,habile
gauche,gauche
dextre,dextre
précis,précise
imprécis,imprécise
coordonné,coordonnée
incoordonné,incoordonnée
équilibré,équilibrée
déséquilibré,déséquilibrée
stable,stable
instable,instable
réactif,réactive
lent,lente
vigoureux,vigoureuse
fatigué,fatiguée
énergique,énergique
léthargique,léthargique
actif,active
passif,passive
proactif,proactive
réactif,réactive
initiatif,initiative
suiveur,suiveuse
leader,leader
meneur,meneuse
suiveur,suiveuse
indépendant,indépendante
dépendant,dépendante
autonome,autonome
soumis,soumise
dominant,dominante
dominé,dominée
libre,libre
opprimé,opprimée
émancipé,émancipée
soumis,soumise
révolté,révoltée
rebelle,rebelle
traditionnel,traditionnelle
tolérant,tolérante
intolérant,intolérante
ouvert,ouverte
fermé,fermée
large,large
étroit,étroite
indulgent,indulgente
sévère,sévère
clément,clémente
impitoyable,impitoyable
miséricordieux,miséricordieuse
cruel,cruelle
bienveillant,bienveillante
malveillant,malveillante
bénin,bénigne
malin,maligne
bon,bonne
mauvais,mauvaise
moral,morale
immoral,immorale
éthique,éthique
amoral,amorale
vertueux,vertueuse
vicieux,vicieuse
intègre,intègre
corrompu,corrompue
honnête,honnête
malhonnête,malhonnête
sincère,sincère
hypocrite,hypocrite
franc,franche
faux,fausse
vrai,vraie
véridique,véridique
menteur,menteuse
fiable,fiable
sûr,sûre
certain,certaine
incertain,incertaine
prévisible,prévisible
imprévisible,imprévisible
constant,constante
variable,variable
stable,stable
instable,instable
fidèle,fidèle
infidèle,infidèle
loyal,loyale
déloyal,déloyale
confiant,confiante
méfiant,méfiante
naïf,naïve
crédule,crédule
sceptique,sceptique
optimiste,optimiste
pessimiste,pessimiste
positif,positive
négatif,négative
constructif,constructive
destructeur,destructrice
bâtisseur,bâtisseuse
briseur,briseuse
créateur,créatrice
destructeur,destructrice
innovant,innovante
