masculine,feminine
gentil,gentille
méchant,méchante
joyeux,joyeuse
triste,triste
heureux,heureuse
malheureux,malheureuse
optimiste,optimiste
pessimiste,pessimiste
confiant,confiante
timide,timide
courageux,courageuse
peureux,peureuse
audacieux,audacieuse
téméraire,téméraire
prudent,prudente
imprudent,imprudente
sage,sage
fou,folle
raisonnable,raisonnable
déraisonnable,déraisonnable
logique,logique
illogique,illogique
rationnel,rationnelle
irrationnel,irrationnelle
intelligent,intelligente
stupide,stupide
brillant,brillante
médiocre,médiocre
cultivé,cultivée
ignorant,ignorante
savant,savante
naïf,naïve
expérimenté,expérimentée
novice,novice
expert,experte
amateur,amatrice
professionnel,professionnelle
compétent,compétente
incompétent,incompétente
habile,habile
maladroit,maladroite
adroit,adroite
gauche,gauche
dextre,dextre
agile,agile
lourd,lourde
rapide,rapide
lent,lente
vif,vive
paresseux,paresseuse
actif,active
passif,passive
dynamique,dynamique
statique,statique
énergique,énergique
fatigué,fatiguée
endurant,endurante
fragile,fragile
résistant,résistante
fort,forte
faible,faible
puissant,puissante
impotent,impotente
ambitieux,ambitieuse
modeste,modeste
orgueilleux,orgueilleuse
humble,humble
arrogant,arrogante
modeste,modeste
vaniteux,vaniteuse
simple,simple
compliqué,compliquée
facile,facile
difficile,difficile
clair,claire
confus,confuse
ordonné,ordonnée
désordonné,désordonnée
méthodique,méthodique
chaotique,chaotique
organisé,organisée
désorganisé,désorganisée
structuré,structurée
amorphe,amorphe
précis,précise
imprécis,imprécise
rigoureux,rigoureuse
négligent,négligente
attentif,attentive
distrait,distraite
concentré,concentrée
dispersé,dispersée
appliqué,appliquée
paresseux,paresseuse
assidu,assidue
fainéant,fainéante
travailleur,travailleuse
paresseux,paresseuse
créatif,créative
innovant,innovante
moderne,moderne
ancien,ancienne
nouveau,nouvelle
âgé,agée
mûr,mûre
immature,immature
expérimenté,expérimentée
novice,novice
sage,sage
immature,immature
réfléchi,réfléchie
impulsif,impulsive
calme,calme
agité,agitée
serein,sereine
nerveux,nerveuse
paisible,paisible
turbulent,turbulente
équilibré,équilibrée
déséquilibré,déséquilibrée
stable,stable
instable,instable
constant,constante
variable,variable
fidèle,fidèle
infidèle,infidèle
loyal,loyale
déloyal,déloyale
honnête,honnête
deshonnête,déshonnête
sincère,sincère
hypocrite,hypocrite
franc,franche
faux,fausse
vrai,vraie
authentique,authentique
artificiel,artificielle
naturel,naturelle
spontané,spontanée
calculé,calculée
émotif,émotive
rationnel,rationnelle
sensible,sensible
insensible,insensible
empathique,empathique
égoïste,égoïste
altruiste,altruiste
