nom,genre,categorie
chien,m,animaux
chat,m,animaux
cheval,m,animaux
vache,f,animaux
mouton,m,animaux
chèvre,f,animaux
cochon,m,animaux
lapin,m,animaux
poule,f,animaux
coq,m,animaux
dinde,f,animaux
canard,m,animaux
oie,f,animaux
âne,m,animaux
ânesse,f,animaux
lion,m,animaux
lionne,f,animaux
tigre,m,animaux
tigresse,f,animaux
éléphant,m,animaux
éléphante,f,animaux
girafe,f,animaux
zèbre,m,animaux
hippopotame,m,animaux
rhinocéros,m,animaux
singe,m,animaux
gorille,m,animaux
chimpanzé,m,animaux
ours,m,animaux
ourse,f,animaux
loup,m,animaux
louve,f,animaux
renard,m,animaux
renarde,f,animaux
écureuil,m,animaux
castor,m,animaux
raton,m,animaux
blaireau,m,animaux
hérisson,m,animaux
hibou,m,animaux
chouette,f,animaux
corbeau,m,animaux
pie,f,animaux
moineau,m,animaux
hirondelle,f,animaux
alouette,f,animaux
canari,m,animaux
perroquet,m,animaux
paon,m,animaux
cygne,m,animaux
pingouin,m,animaux
manchot,m,animaux
otarie,f,animaux
phoque,m,animaux
requin,m,animaux
dauphin,m,animaux
baleine,f,animaux
orque,f,animaux
méduse,f,animaux
pieuvre,f,animaux
calamar,m,animaux
crabe,m,animaux
homard,m,animaux
langouste,f,animaux
crevette,f,animaux
moule,f,animaux
huître,f,animaux
escargot,m,animaux
limace,f,animaux
papillon,m,animaux
abeille,f,animaux
guêpe,f,animaux
fourmi,f,animaux
moustique,m,animaux
mouche,f,animaux
coccinelle,f,animaux
scarabée,m,animaux
libellule,f,animaux
chenille,f,animaux
serpent,m,animaux
vipère,f,animaux
crocodile,m,animaux
alligator,m,animaux
tortue,f,animaux
lézard,m,animaux
caméléon,m,animaux
iguane,m,animaux
grenouille,f,animaux
crapaud,m,animaux
triton,m,animaux
salamandre,f,animaux
poisson,m,animaux
saumon,m,animaux
truite,f,animaux
carpe,f,animaux
brochet,m,animaux
anguille,f,animaux
dorade,f,animaux
thon,m,animaux
maquereau,m,animaux
sardine,f,animaux
anchois,m,animaux
hareng,m,animaux
morue,f,animaux
cabillaud,m,animaux
raie,f,animaux
sole,f,animaux
merlan,m,animaux
rouget,m,animaux
phoque,m,animaux
pieuvre,f,animaux
crabe,m,animaux
homard,m,animaux
moule,f,animaux
abeille,f,animaux
fourmi,f,animaux
mouche,f,animaux
serpent,m,animaux
iguane,m,animaux
grenouille,f,animaux
truite,f,animaux
carpe,f,animaux
thon,m,animaux
raie,f,animaux
zèbre,m,animaux
panthère,f,animaux
chameau,m,animaux
dromadaire,m,animaux
lama,m,animaux
alpaga,m,animaux
bison,m,animaux
cerf,m,animaux
biche,f,animaux
faon,m,animaux
sanglier,m,animaux
héron,m,animaux
flamant,m,animaux
pélican,m,animaux
cigogne,f,animaux
autruche,f,animaux
émeu,m,animaux
kiwi,m,animaux
manchot,m,animaux
lionceau,m,animaux
ourson,m,animaux
chaton,m,animaux
chiot,m,animaux
poulain,m,animaux
veau,m,animaux
agneau,m,animaux
chevreau,m,animaux
porcelet,m,animaux
lapereau,m,animaux
caneton,m,animaux
oisillon,m,animaux
éléphanteau,m,animaux
singeau,m,animaux
gorillon,m,animaux
oursonne,f,animaux
louveteau,m,animaux
renardeau,m,animaux
pingouineau,m,animaux
baleineau,m,animaux
moucheron,m,animaux
souris,f,animaux
hamster,m,animaux
pigeon,m,animaux
faisan,m,animaux
caille,f,animaux
faucon,m,animaux
aigle,m,animaux
vautour,m,animaux
faisan,m,animaux
python,m,animaux
boa,m,animaux
gazelle,f,animaux
cochon,m,animaux
porc,m,animaux
sanglier,m,animaux
buffle,m,animaux
antilope,f,animaux
cerf,m,animaux
biche,f,animaux
bélier,m,animaux
bouc,m,animaux
mouton,m,animaux
brebis,f,animaux
taureau,m,animaux
vache,f,animaux
tortue,f,animaux
poule,f,animaux
poussin,m,animaux
colibri,m,animaux
perruche,f,animaux
furet,m,animaux
condor,m,animaux
scorpion,m,animaux
araignée,f,animaux
grenouille,f,animaux
tétard,m,animaux
salamandre,f,animaux
dinosaure,m,animaux
leopard,m,animaux
panthère,f,animaux
chameau,m,animaux
dromadaire,m,animaux
lama,m,animaux
guépard,m,animaux
jaguar,m,animaux
vipère,f,animaux
marmotte,f,animaux
bison,m,animaux
koala,m,animaux
panda,m,animaux
truite,f,animaux
carpe,f,animaux
dorade,f,animaux
morue,f,animaux
renne,m,animaux
caribou,m,animaux
étalon,m,animaux
jument,f,animaux
grizzly,m,animaux
gecko,m,animaux
hanneton,m,animaux
cigale,f,animaux
phacochère,m,animaux
sauterelle,f,animaux
tatou,m,animaux
mésange,f,animaux
lézard,m,animaux
tique,f,animaux
ouistiti,m,animaux
gorille,m,animaux
bonobo,m,animaux
macaque,m,animaux
heron,m,animaux
epervier,m,animaux
etourneau,m,animaux
