nom,genre,categorie
rose,f,plantes
tulipe,f,plantes
marguerite,f,plantes
orchidée,f,plantes
lys,m,plantes
pivoine,f,plantes
lavande,f,plantes
jasmin,m,plantes
chêne,m,plantes
sapin,m,plantes
érable,m,plantes
bouleau,m,plantes
peuplier,m,plantes
saule,m,plantes
pin,m,plantes
cyprès,m,plantes
bambou,m,plantes
cactus,m,plantes
aloè,m,plantes
ficus,m,plantes
lierre,m,plantes
vigne,f,plantes
fougère,f,plantes
mousse,f,plantes
lilas,m,plantes
hortensia,m,plantes
camélia,m,plantes
hibiscus,m,plantes
magnolia,m,plantes
séquoia,m,plantes
baobab,m,plantes
acacia,m,plantes
mimosa,m,plantes
thym,m,plantes
romarin,m,plantes
basilic,m,plantes
menthe,f,plantes
persil,m,plantes
coriandre,f,plantes
aneth,m,plantes
estragon,m,plantes
verveine,f,plantes
camomille,f,plantes
pissenlit,m,plantes
coquelicot,m,plantes
bleuet,m,plantes
nénuphar,m,plantes
lotus,m,plantes
palmier,m,plantes
bananier,m,plantes
cocotier,m,plantes
olivier,m,plantes
figuier,m,plantes
citronnier,m,plantes
oranger,m,plantes
mandarinier,m,plantes
pommier,m,plantes
poirier,m,plantes
cerisier,m,plantes
prunier,m,plantes
abricotier,m,plantes
nectarinier,m,plantes
amandier,m,plantes
noisetier,m,plantes
châtaignier,m,plantes
noyer,m,plantes
cacaoyer,m,plantes
caféier,m,plantes
théier,m,plantes
papyrus,m,plantes
agave,m,plantes
lupin,m,plantes
capucine,f,plantes
bégonia,m,plantes
pétunia,m,plantes
géranium,m,plantes
fuchsia,m,plantes
primevère,f,plantes
anémone,f,plantes
edelweiss,m,plantes
coton,m,plantes
lin,m,plantes
chanvre,m,plantes
jute,m,plantes
rotin,m,plantes
osier,m,plantes
roseau,m,plantes
teck,m,plantes
ébène,m,plantes
acajou,m,plantes
houx,m,plantes
laurier,m,plantes
myrtille,f,plantes
canneberge,f,plantes
cassis,m,plantes
groseille,f,plantes
framboisier,m,plantes
mûrier,m,plantes
kiwi,m,plantes
passiflore,f,plantes
vanille,f,plantes
cannelle,f,plantes
clou de girofle,m,plantes
noix de muscade,f,plantes
safran,m,plantes
curcuma,m,plantes
gingembre,m,plantes
cardamome,f,plantes
poivre,m,plantes
piment,m,plantes
banane,f,plantes
pomme,f,plantes
poire,f,plantes
cerise,f,plantes
prune,f,plantes
abricot,m,plantes
pêche,f,plantes
amande,f,plantes
noisette,f,plantes
châtaigne,f,plantes
noyer,m,plantes
cacao,m,plantes
café,m,plantes
thé,m,plantes
kiwi,m,plantes
vanille,f,plantes
safran,m,plantes
poivre,m,plantes
piment,m,plantes
figue,f,plantes
olive,f,plantes
raisin,m,plantes
melon,m,plantes
pastèque,f,plantes
ananas,m,plantes
mangue,f,plantes
papaye,f,plantes
litchi,m,plantes
grenade,f,plantes
kaki,m,plantes
framboise,f,plantes
mûre,f,plantes
myrtille,f,plantes
canneberge,f,plantes
cassis,m,plantes
groseille,f,plantes
fraise,f,plantes
carotte,f,plantes
navet,m,plantes
radis,m,plantes
betterave,f,plantes
pomme de terre,f,plantes
patate douce,f,plantes
courgette,f,plantes
concombre,m,plantes
potiron,m,plantes
citrouille,f,plantes
chou,m,plantes
brocoli,m,plantes
chou-fleur,m,plantes
épinard,m,plantes
salade,f,plantes
laitue,f,plantes
