nom,genre,categorie
dragon,m,creature
dragonne,f,creature
licorne,f,creature
griffon,m,creature
phénix,m,creature
sirène,f,creature
triton,m,creature
centaure,m,creature
nymphe,f,creature
satyr,m,creature
harpie,f,creature
chimère,f,creature
hydre,f,creature
minotaure,m,creature
sphinx,m,creature
goule,f,creature
zombie,m,creature
vampire,m,creature
vampiresse,f,creature
loup-garou,m,creature
sorcière,f,creature
sorcier,m,creature
ogre,m,creature
ogresse,f,creature
troll,m,creature
gobelin,m,creature
elfe,m,creature
elfette,f,creature
démon,m,creature
démone,f,creature
ange,m,creature
archange,m,creature
valkyrie,f,creature
fantôme,m,creature
spectre,m,creature
esprit,m,creature
ombre,f,creature
lutin,m,creature
farfadet,m,creature
pixie,f,creature
fée,f,creature
géant,m,creature
géante,f,creature
gnome,m,creature
nain,m,creature
naine,f,creature
orc,m,creature
orque,f,creature
hobbit,m,creature
basilic,m,creature
manticore,f,creature
leviathan,m,creature
kraken,m,creature
yéti,m,creature
hippogriffe,m,creature
djinn,m,creature
genie,m,creature
sirène,f,creature
godzilla,m,creature
cerbère,m,creature
