nom,genre,categorie
chien,m,animaux
chat,m,animaux
cheval,m,animaux
vache,f,animaux
mouton,m,animaux
chevre,f,animaux
cochon,m,animaux
lapin,m,animaux
poule,f,animaux
coq,m,animaux
dinde,f,animaux
canard,m,animaux
oie,f,animaux
ane,m,animaux
anesse,f,animaux
lion,m,animaux
lionne,f,animaux
tigre,m,animaux
tigresse,f,animaux
elephant,m,animaux
elephante,f,animaux
girafe,f,animaux
zebre,m,animaux
rhinoceros,m,animaux
singe,m,animaux
gorille,m,animaux
chimpanze,m,animaux
ours,m,animaux
ourse,f,animaux
loup,m,animaux
louve,f,animaux
renard,m,animaux
renarde,f,animaux
ecureuil,m,animaux
castor,m,animaux
raton,m,animaux
blaireau,m,animaux
herisson,m,animaux
hibou,m,animaux
chouette,f,animaux
corbeau,m,animaux
pie,f,animaux
moineau,m,animaux
hirondelle,f,animaux
alouette,f,animaux
canari,m,animaux
perroquet,m,animaux
paon,m,animaux
cygne,m,animaux
pingouin,m,animaux
manchot,m,animaux
otarie,f,animaux
phoque,m,animaux
requin,m,animaux
dauphin,m,animaux
baleine,f,animaux
orque,f,animaux
meduse,f,animaux
pieuvre,f,animaux
calamar,m,animaux
crabe,m,animaux
homard,m,animaux
langouste,f,animaux
crevette,f,animaux
moule,f,animaux
huitre,f,animaux
escargot,m,animaux
limace,f,animaux
papillon,m,animaux
abeille,f,animaux
guepe,f,animaux
fourmi,f,animaux
moustique,m,animaux
mouche,f,animaux
coccinelle,f,animaux
scarabee,m,animaux
libellule,f,animaux
chenille,f,animaux
serpent,m,animaux
vipere,f,animaux
crocodile,m,animaux
alligator,m,animaux
tortue,f,animaux
lezard,m,animaux
cameleon,m,animaux
iguane,m,animaux
grenouille,f,animaux
crapaud,m,animaux
triton,m,animaux
salamandre,f,animaux
poisson,m,animaux
saumon,m,animaux
truite,f,animaux
carpe,f,animaux
brochet,m,animaux
anguille,f,animaux
dorade,f,animaux
thon,m,animaux
maquereau,m,animaux
sardine,f,animaux
anchois,m,animaux
hareng,m,animaux
morue,f,animaux
cabillaud,m,animaux
raie,f,animaux
sole,f,animaux
merlan,m,animaux
rouget,m,animaux
panthere,f,animaux
chameau,m,animaux
dromadaire,m,animaux
lama,m,animaux
alpaga,m,animaux
bison,m,animaux
cerf,m,animaux
biche,f,animaux
faon,m,animaux
sanglier,m,animaux
heron,m,animaux
flamant,m,animaux
pelican,m,animaux
cigogne,f,animaux
autruche,f,animaux
emeu,m,animaux
kiwi,m,animaux
lionceau,m,animaux
ourson,m,animaux
chaton,m,animaux
chiot,m,animaux
poulain,m,animaux
veau,m,animaux
agneau,m,animaux
chevreau,m,animaux
porcelet,m,animaux
lapereau,m,animaux
caneton,m,animaux
oisillon,m,animaux
singeau,m,animaux
gorillon,m,animaux
oursonne,f,animaux
